Hour,PV,WT,HY
561,0.232,0.002,1
562,0.369,0.001,1
563,0.495,0.007,1
564,0.601,0.021,1
565,0.657,0.037,1
566,0.662,0.052,1
567,0.626,0.059,1
568,0.572,0.068,1
569,0.482,0.077,1
570,0.346,0.079,1
571,0.19,0.076,1
572,0.061,0.072,1
573,0.002,0.104,1
574,0,0.13,0.66
575,0,0.124,0.66
576,0,0.108,0.66
577,0,0.072,0.66
578,0,0.033,0.66
579,0,0.008,0.66
580,0,0.002,0.66
581,0,0.004,0.66
582,0,0.021,0.66
583,0.022,0.068,1
584,0.106,0.043,1
585,0.247,0.041,1
586,0.405,0.059,1
587,0.553,0.091,1
588,0.651,0.124,1
589,0.701,0.14,1
590,0.706,0.148,1
591,0.663,0.15,1
592,0.583,0.142,1
593,0.475,0.135,1
594,0.337,0.134,1
595,0.19,0.135,1
596,0.059,0.151,1
597,0.001,0.251,1
598,0,0.315,0.66
599,0,0.302,0.66
600,0,0.294,0.66
601,0,0.283,0.66
602,0,0.264,0.66
603,0,0.243,0.66
604,0,0.22,0.66
605,0,0.192,0.66
606,0,0.172,0.66
607,0.017,0.141,1
608,0.107,0.046,1
609,0.267,0.017,1
610,0.429,0.007,1
611,0.563,0.007,1
612,0.651,0.014,1
613,0.702,0.032,1
614,0.703,0.055,1
615,0.669,0.067,1
616,0.596,0.065,1
617,0.478,0.058,1
618,0.33,0.049,1
619,0.176,0.046,1
620,0.055,0.039,1
621,0.001,0.043,1
622,0,0.073,0.66
623,0,0.132,0.66
624,0,0.205,0.66
625,0,0.281,0.66
626,0,0.294,0.66
627,0,0.256,0.66
628,0,0.241,0.66
629,0,0.232,0.66
630,0,0.223,0.66
631,0.018,0.185,1
632,0.11,0.092,1
633,0.268,0.084,1
634,0.417,0.201,1
635,0.494,0.314,1
636,0.559,0.504,1
637,0.666,0.556,1
638,0.698,0.495,1
639,0.64,0.459,1
640,0.467,0.484,1
641,0.297,0.483,1
642,0.187,0.426,1
643,0.116,0.361,1
644,0.043,0.278,1
645,0.001,0.327,1
646,0,0.356,0.66
647,0,0.326,0.66
648,0,0.334,0.66
649,0,0.367,0.66
650,0,0.414,0.66
651,0,0.447,0.66
652,0,0.453,0.66
653,0,0.618,0.66
654,0,0.527,0.66
655,0.014,0.484,1
656,0.067,0.422,1
657,0.161,0.494,1
658,0.275,0.565,1
659,0.418,0.559,1
660,0.541,0.586,1
661,0.565,0.624,1
662,0.567,0.676,1
663,0.523,0.741,1
664,0.415,0.776,1
665,0.318,0.763,1
666,0.238,0.72,1
667,0.147,0.661,1
668,0.053,0.562,1
669,0,0.539,1
670,0,0.525,0.66
671,0,0.432,0.66
672,0,0.425,0.66
673,0,0.416,0.66
674,0,0.425,0.66
675,0,0.433,0.66
676,0,0.431,0.66
677,0,0.414,0.66
678,0,0.38,0.66
679,0.014,0.307,1
680,0.098,0.199,1
681,0.226,0.156,1
682,0.307,0.228,1
683,0.328,0.325,1
684,0.39,0.457,1
685,0.458,0.618,1
686,0.462,0.676,1
687,0.412,0.63,1
688,0.409,0.562,1
689,0.381,0.528,1
690,0.297,0.524,1
691,0.174,0.442,1
692,0.052,0.32,1
693,0,0.348,1
694,0,0.342,0.66
695,0,0.291,0.66
696,0,0.238,0.66
697,0,0.188,0.66
698,0,0.179,0.66
699,0,0.195,0.66
700,0,0.196,0.66
701,0,0.236,0.66
702,0,0.283,0.66
703,0.014,0.255,1
704,0.095,0.193,1
705,0.213,0.211,1
706,0.337,0.379,1
707,0.406,0.481,1
708,0.338,0.504,1
709,0.308,0.432,1
710,0.267,0.323,1
711,0.262,0.227,1
712,0.299,0.169,1
713,0.342,0.123,1
714,0.286,0.098,1
715,0.14,0.08,1
716,0.04,0.106,1
717,0,0.178,1
718,0,0.16,0.66
719,0,0.099,0.66
720,0,0.084,0.66
